Major,Sector/Industry,Organization/Institution,Job Title/Program,Employment Status,Class Year
Computer Science,"Consulting, Management, Sales, Human Resources and General Business",McDonald's,Software Engineer,Employed,2023
Computer Science,"Education, Social & Community Services and Nonprofits",Alpha EDU,Academic Guide,Employed,2023
Computer Science,"Consulting, Management, Sales, Human Resources and General Business",Huron Consulting,Digital Consultant,Employed,2023
Computer Science,"Banking, Finance, Real Estate and Insurance",CapitalOne,Product Development Program Associate,Employed,2023
Computer Science,"Science, Technology, Engineering, Mathematics and Computer Science",Microsoft,Software Engineer,Employed,2023
Computer Science,"Science, Technology, Engineering, Mathematics and Computer Science",SAS,Associate Solutions Advisor,Employed,2023
Computer Science,"Consulting, Management, Sales, Human Resources and General Business",Alphasights,Client Service Associate,Employed,2023
Computer Science,"Science, Technology, Engineering, Mathematics and Computer Science",Precisely,Associate Software Developer,Employed,2023
Computer Science,"Science, Technology, Engineering, Mathematics and Computer Science",Microsoft,Software Engineer,Employed,2023
Computer Science,"Science, Technology, Engineering, Mathematics and Computer Science",Precisely,Associate Software Engineer,Employed,2023
Computer Science,"Education, Social & Community Services and Nonprofits",Georgetown University,Front End Developer,Employed,2023
Computer Science,"Consulting, Management, Sales, Human Resources and General Business",Bain & Company,Associate Consultant,Employed,2023
Computer Science,"Science, Technology, Engineering, Mathematics and Computer Science",University of North Carolina-Chapel Hill,Computer Science,Continuing Education,2023
Computer Science,"Science, Technology, Engineering, Mathematics and Computer Science",Syracuse University,Applied Data Science,Continuing Education,2023
Computer Science,"Science, Technology, Engineering, Mathematics and Computer Science",Colorado School of Mines,Computer Science,Continuing Education,2023
Africana Studies,"Healthcare, Medicine, and Medical Research",Thrive Skilled Pediatric Care,Care Experience Manager,Employed,2023
Africana Studies,,Davidson Impact Fellowship,Fellow,Employed,2023
Anthropology,"Consulting, Management, Sales, Human Resources and General Business",University of Notre Dame,Business,Continuing Education,2023
Anthropology,"Education, Social & Community Services and Nonprofits",Vanderbilt University,Anthropology PhD,Continuing Education,2023
